text,Label
"We are crying because you lost a match !! it makes no sense to be sad because sport is a win or loss, but I am happy that I see my country’s daughters have global participation in the Olympics like any country..I am optimistic about a strong future for my Tahani  Al-Qahtani and I am certain that one day she will get a gold medal in one of the upcoming Olympics.",0
The goal is to learn and challenge yourself to achieve the best in the future. Loss is the beginning of a stage of success,0
Appreciate this act by both the players. Very happy to see both Saudi Arabia and Israel expressing the spirit of Olympics. ,0
Great to hear the coach encourage the fighter to hug her opponent and raise her hand. Fantastic sportsmanship,0
"Wonderful to see sport providing an opportunity to build relationships, respect and mutual understanding. Both contestants are winners. Friendship between people, nations and cultures is above politics.",0
m so love and so touch with there gestured,0
Now if the republicans and democrats can do that!,0
"Yesterday , in the international friendship day, it was also historic for the relations of Israel with the arab world . Except of fighting when it is needed also with the help of SWU We are happy to connect with ",0
OMG look at those black belt ,0
Hand shake of shame with occupation. Filthy,1
You are the one to be shamed. This sport and not politic. Hate will kill us and our children all. The world needs peace and not hatred.,0
Truly stunning and brave ,0
Pure class from both athletes.,0
"if you watch it through twice, it looks as though she bows, shakes her hand and then throws her over her shoulder......",0
"Sport is supposed to be apolitical, tolerant of everyone and represent the best of the competitive spirit, but everywhere the Fundamentalist Islam haters operate, they degrade and demean whatever it is they participate in. This young woman represents the best humanity has to offer and I hope she doesn't get ""chastized"" by some xenophobic,anti-semitic mysognist in her home country because she didn't tow the party line!",0
Beat the devil? Seriously? Those hateful fools need to get a life.,1
"Humiliating Defeat!! Not only the Saudi athlete, Tahani Al-Qahtani, refused to heed the Palestinian call not to play with an Israeli Player on the footsteps of Algerian and Sudanese judokas, but she also suffered a humiliating Defeat (0-11).",0
"Poor athlete Tahani is a victim , the defeat is not on her but on those officials who forced her to accept the bout",0
Great to see the amazing sportsmanship between Tahani al-Qahtani and Raz Hershko in the Olympic judo. Small gestures that will do more to heal relations between troubled countries than refusing to play each other ever will ,0
Events at the Olympics show how far the region has come but also how far it has to go in terms of engagement with Israel and Israelis. Bravo Tahani al-Qahtani!,0
"Since i'm from west,and don't of course properly understand other cultures: I assume this was the first in a long time,do you think it played a role that it was women?Was it easier to accept a defeat toFlag of Israel because of the gender, would it have been politically harder if it was men?",0
"Man or women, none should have played even if winning was guaranteed because it's a principle. Do not normalize with Israel even in sports. That's the whole point.",1
The Saudi looks really happy...I wonder why...,0
Beautiful handshake and hug between two remarkable athletes from Israel Flag of Israel and Saudi Arabia Flag of Saudi Arabia. They are both winners and an inspiration ,0
"Congratulations to the Israeli player Raz Hare ShakouI send you to the heroine, Tahani Al-Qahtani, and I tell you that you have made history.Thank you to the Israeli brothers for their sportsmanship, and the next one between us will be better I also hope for a football match",0
I am very proud of Yasmine Al-Dabbagh and Tahani Al-Qahtani for representing Saudi women in sports at the Olympics ,0
"I find in unconvincing that Tahani Al-Qahtani was “instructed” by the #Saudi government to withdraw AND, she would defy that instruction. The Saudi Minister of Sport (Abdulaziz bin Turki) was right there before her bout She may have lost the bout, but all of Saudi is proud of  her",0
"#Saudi Judo player Tahani Al-Qahtani refused to withdraw, as instructed by her gov., from the competition in Tokyo Olympics when she was facing an Israeli player, as has been the case with most of the Arab players. Anyway, she lost the game against the Israeli player minutes ago",0
Correction: judo player refused to run away from confrontation or give a Zionist a free win. I loath the apartheid ethic cleansing regime but I don’t want to give them an automatic win.,0
Her government has been dealing with the Israelis and secretly negotiating a peaceful treaty (like the Emirate). I find it difficult that she disobeyed her government order.I am glad she lost.,0
"Big liar ! How did you know that her gov. Instructed her to not withdraw!!! Have a evidence? Secondly not most Arabs withdraw like Egypt , Jordan , Morocco and Tunis.For me I don’t want any Arab or Muslim play against them but don’t say lies plz",0
"My weekend is so eventful, we're promised so much fun by Mohammed Abdu's concert tonight and Tahani Al-Qahtani's judo match tomorrow all support and love for both of them to perform very well ❤",0
"It's a sport you win or lose  Tahani Al-Qahtani is a pioneer in our sport for ladies in our country  We didn't expect her to win for the first time but we should build for the future We are proud of her if she win or lose


",0
Great performance from one side.. tahani should have done the math and realised the opponents served in the army where tactics are quite different on the ground and in the discipline of what her trainers taught.,0
"Saudi judoka participating in the Tokyo Olympics 2021Tahani decided not to withdraw in front of an Israeli playerTahani lost 0-11Tahani played without her hijabTahani lost the respect of the Arab and Islamic world, and above her she lost the match",1
"I'm seeing a lot of gloating about Tahani al-Qahtani of #SaudiArabia losing to #Israel's Raz Hershko in #Judo. I don't care what your politics are, when you have the balls to face an opponent in combat, sports or otherwise, then you can have an opinion. Until then, shut up.",0
"It really is disgraceful seeing the amount of cackling hyenas who couldn't fight to save their lives having a go. At least she had the courage to compete, show some respect.",0
"Actually a goal was achieved here, after Algerian athletes refused to face an Israeli",0
Best of luck to Al-Qahtani and the boys and girls of my country in the upcoming Olympics and world competitions in the future The dogs bark and the caravan moves forward ,0
"Is this not considered normalization, O Palestinians?",0
"We did not see your barking at the presence of Qatari fans in Israel, nor at the presence of the Qatari team, Paris Saint-Germain, in Israel, as you did when Tahani Al-Qahtani confronted her Israeli counterpart ...",1
"congratulate the Israeli people for their love and support for the girl, Tahani Al-Qahtani.",0
If I were her I wouldn't play and Drew back from the competition even if I am sure that I will win,0
Great job competing! She is a strong woman not to chicken out for fear of losing. Winning isn't everything. Tawaqal ala Allah. We are so proud of her!!!,0
she should have stayed home and spared everyone the embarassment.,0
"I don't know what Ur problem is, making Jewish Hate tweets. Israel is where Jews were from! Israel has as much right as any other Country there. Before there was no Jordan, no Syria, no Lebanon, no Saudi Arabia. Why U pick on Israel.Large blue diamond",0
Historic moment: our Judo athlete Tahani Al-qahtani who’s scheduled to face off with Israel’s Raz at the elimination round of 32 of the Judo competition in #TokyoOlympics2020 is TODAY. literally i have NEVER been so proud of a stranger the way im proud of her,0
Saudis should be smarter. Withdrawing could let them winning back hearts of Arabs.,0
Stupid decision and will affect Tahani's career.,1
"Lina is anti-Semitic and demands the contestant, Tahani Al-Qahtani, to withdraw from facing the Israeli player.  Here, the demands of the opponents abroad become clear to us, which is the policy of isolation between countries",0
My utmost respect to the Kingdom of Saudi Arabia and her people.,0
Really? Who pressured Saudi judoka Tahani al-Qahtani to drop out of the match? Not what Israel would have expected from Saudi Arabia today.,0
"This is what the Olympic games is all about, politics shouldn’t have a place in the games. Respect to Tahani Al-Qatani",0
This is not about politics. But your point still stands.Kudos to all involved in this exchange of peace.,0
"So many people in Twitter tried to tell the baseball teams to boycott playing Israel Face with tears of joy. Tf, we’re gonna play them no matter what.",0
We have to choose peace not hatred.,0
"We Pakistani still boycott you, only country who proudly deny any relation with occupiers, the killers of innocent #Palestinian, children and women. I'm proud to have a passport that says ""THIS PASSPORT IS VALID FOR ALL COUNTRIES OF THE WORLD EXCEPT ISRAEL.""",1
Children are among Palestinians martyred in the latest Israeli airstrikes on Gaza. How convenient it is for the world to process the killing of innocent Palestinians! Criminal silence is akin to condoning Israeli war crimes. Are you on side of humanity or terrorism?,1
"This is the first post and it is the beginning of future posts And the loss is expected, but withdrawing is a foolish decision, as this is a sport, not a policy",0
Muslims are such savages that the world praises them just for acting normal.,1
When I saw both of their pictures I knew Israel would win. The Israeli chick has eyes of a Pitbull. No way the Saudi Labrador would win.,1
"We don't need racists and fanatics at the Olympics, they already destroy our daily life where ever we live.",0
Saudis are never extremists and hateful they are educated and respect women..,0
"Of course, you do not care about Palestine because Israel does not persecute your nation and your race with international support. You certainly do not care.",1
Saudi Arabia encouraged her to stay in as did most of the country. It was outside pressure. Read the article.,0
